Date,Close/Last,Volume,Open,High,Low
03/10/2025,$194.54,62350930,$195.60,$196.73,$190.85
03/07/2025,$199.25,59802820,$199.49,$202.2653,$192.53
03/06/2025,$200.70,49863760,$204.40,$205.77,$198.3015
03/05/2025,$208.36,38610090,$204.80,$209.98,$203.26
03/04/2025,$203.80,60853080,$200.11,$206.80,$197.432
03/03/2025,$205.02,42948450,$213.352,$214.01,$202.55
02/28/2025,$212.28,51771740,$208.65,$212.62,$206.99
02/27/2025,$208.74,40548570,$218.35,$219.97,$208.37
02/26/2025,$214.35,39120600,$214.94,$218.16,$213.09
02/25/2025,$212.80,58957980,$211.63,$213.34,$204.16
02/24/2025,$212.71,42387590,$217.45,$217.715,$212.42
02/21/2025,$216.58,55323850,$223.28,$223.31,$214.74
02/20/2025,$222.88,30001670,$224.775,$225.13,$221.81
02/19/2025,$226.63,28566710,$225.52,$226.83,$223.71
02/18/2025,$226.65,42975130,$228.82,$229.30,$223.72
02/14/2025,$228.68,27031080,$229.20,$229.89,$227.23
02/13/2025,$230.37,31346510,$228.85,$230.42,$227.52
02/12/2025,$228.93,32285250,$230.46,$231.18,$228.16
02/11/2025,$232.76,23713730,$231.92,$233.44,$230.13
