Date,Close/Last,Volume,Open,High,Low
03/10/2025,$154.98,10139920,$157.35,$159.255,$152.61
03/07/2025,$161.22,8727617,$155.22,$161.82,$155.22
03/06/2025,$156.04,7808129,$154.11,$157.88,$154.09
03/05/2025,$158.49,6786851,$155.04,$159.15,$153.03
03/04/2025,$154.46,8956839,$155.27,$157.20,$151.35
03/03/2025,$153.62,9601853,$158.99,$160.08,$152.52
02/28/2025,$157.17,10149470,$155.10,$157.31,$153.40
02/27/2025,$154.44,10807190,$162.34,$163.25,$154.10
02/26/2025,$162.10,9161867,$161.83,$164.14,$160.93
02/25/2025,$161.22,8244945,$161.66,$163.33,$159.44
02/24/2025,$161.10,9827839,$165.91,$166.59,$160.99
02/21/2025,$165.43,12531870,$174.98,$175.43,$165.21
02/20/2025,$173.70,6316412,$176.00,$176.39,$172.90
02/19/2025,$175.22,6849614,$173.985,$176.50,$173.35
02/18/2025,$173.64,7292649,$173.26,$173.72,$171.2359
02/14/2025,$172.23,4691344,$172.60,$172.82,$171.04
02/13/2025,$172.15,6362183,$170.19,$172.36,$169.47
02/12/2025,$170.29,5505696,$169.55,$170.93,$168.24
02/11/2025,$171.99,6588067,$169.65,$172.70,$169.11
