Date,Close/Last,Volume,Open,High,Low
03/10/2025,$101.125,15823320,$105.73,$106.00,$99.80
03/07/2025,$106.48,11637380,$104.73,$106.855,$103.4381
03/06/2025,$105.47,16321750,$110.01,$110.4266,$104.9054
03/05/2025,$111.69,11926820,$111.57,$112.5194,$110.21
03/04/2025,$112.06,12482360,$114.99,$115.27,$112.00
03/03/2025,$115.41,9225548,$116.04,$117.46,$114.10
02/28/2025,$115.81,11466020,$115.06,$116.09,$114.27
02/27/2025,$114.49,9013720,$113.00,$115.70,$112.8001
02/26/2025,$113.00,7466760,$114.61,$114.79,$112.26
02/25/2025,$114.59,11001780,$113.08,$115.24,$112.67
02/24/2025,$113.19,13120480,$112.34,$113.91,$111.89
02/21/2025,$111.75,9664734,$113.33,$114.68,$111.63
02/20/2025,$113.34,6343805,$112.17,$113.50,$111.96
02/19/2025,$112.49,8268899,$112.44,$113.34,$112.34
02/18/2025,$113.03,7574072,$111.80,$113.36,$111.62
02/14/2025,$112.55,9115007,$112.82,$113.47,$112.03
02/13/2025,$113.00,10046270,$113.12,$113.40,$111.525
02/12/2025,$113.04,7269396,$110.56,$113.185,$110.4002
02/11/2025,$111.03,4683518,$110.88,$112.08,$110.61
